subj,age,sex,phase,block,trial,cue,resp,out,numResp,RT,AOI_cue_p1,AOI_cue_p2,AOI_resp_p1,AOI_resp_p2,AOI_out_p1,AOI_out_p2,tOutFix,nFix_p1,nFix_p2,samples_p1,samples_p2,raw_NA_p1,raw_NA_p2,post_interp_NA_p1,post_interp_NA_p2,ICU,ICU_medSplit
P103_Exp3,18,F,1,6,23,4,4,8,1,795.016754400422,210,170,475,487,0,0,NA,3,4,239,249,0,0,0,0,26,High
P103_Exp3,18,F,1,6,24,2,2,6,1,811.101944814254,153,0,547,413,0,386,447,4,2,243,251,0,0,0,0,26,High
P103_Exp3,18,F,2,7,25,5,1,9,4,3973.36139367189,146,169,3481,226,0,220,264,9,4,1192,247,0,0,0,0,26,High
P103_Exp3,18,F,2,7,26,7,3,11,1,1639.45302866614,190,344,1046,210,0,167,240,5,4,492,252,54,0,54,0,26,High
P103_Exp3,18,F,2,7,27,8,4,12,1,1877.21248253183,227,0,1458,322,0,403,277,7,4,564,250,0,0,0,0,26,High
P103_Exp3,18,F,2,7,28,6,2,10,1,819.060926492057,0,303,793,449,0,0,NA,2,3,245,253,0,0,0,0,26,High
P103_Exp3,18,F,2,8,29,8,4,12,1,2334.56882132987,800,196,1267,321,0,217,203,9,4,700,254,17,0,0,0,26,High
P103_Exp3,18,F,2,8,30,6,2,10,1,4482.52431961373,609,0,3472,204,0,520,240,14,3,1345,254,0,0,0,0,26,High
P103_Exp3,18,F,2,8,31,5,1,9,1,1005.15566454487,210,0,647,461,0,203,253,5,3,301,252,0,0,0,0,26,High
P103_Exp3,18,F,2,8,32,7,3,11,1,822.667476842526,150,0,444,390,0,352,257,4,4,247,251,0,0,0,0,26,High
P103_Exp3,18,F,2,9,33,8,4,12,1,2105.76296439876,939,359,803,307,134,0,NA,9,5,632,252,0,0,0,0,26,High
P103_Exp3,18,F,2,9,34,6,2,10,1,1175.08974870952,250,197,790,514,0,0,NA,5,4,352,251,0,0,0,0,26,High
P103_Exp3,18,F,2,9,35,5,1,9,1,695.786813874747,0,0,650,767,0,0,NA,2,2,208,250,0,0,0,0,26,High
P103_Exp3,18,F,2,9,36,7,3,11,1,380.917279656387,0,183,373,520,0,0,NA,1,4,114,250,0,0,0,0,26,High
P103_Exp3,18,F,2,10,37,8,4,12,1,2987.83408057261,0,0,2215,823,143,0,NA,9,2,897,252,46,0,45,0,26,High
P103_Exp3,18,F,2,10,38,7,3,11,2,4683.81317537887,583,0,3467,799,0,0,NA,12,2,1405,253,51,0,50,0,26,High
P103_Exp3,18,F,2,10,39,5,1,9,1,1047.36721522568,164,0,746,786,0,0,NA,5,2,314,249,0,0,0,0,26,High
P103_Exp3,18,F,2,10,40,6,2,10,1,303.4802848656,47,210,200,277,0,217,467,2,4,91,248,0,0,0,0,26,High
P103_Exp3,18,F,2,11,41,7,3,11,3,6588.33920288225,1124,0,3837,543,0,210,380,29,3,1977,248,172,0,85,0,26,High
P103_Exp3,18,F,2,11,42,8,4,12,1,1077.3307422196,154,0,697,643,0,0,NA,8,2,323,251,0,13,0,0,26,High
P103_Exp3,18,F,2,11,43,5,1,9,1,1107.14485153449,86,0,647,780,0,0,NA,5,2,332,252,0,0,0,0,26,High
P103_Exp3,18,F,2,11,44,6,2,10,1,2030.65115016898,390,0,1227,823,0,0,NA,12,1,610,249,2,0,0,0,26,High
P103_Exp3,18,F,2,12,45,5,1,9,1,1406.71160063766,220,190,948,544,0,0,NA,8,3,422,251,0,0,0,0,26,High
P103_Exp3,18,F,2,12,46,7,3,11,1,2455.13319152269,293,0,1871,230,0,220,256,6,3,737,251,26,0,26,0,26,High
P103_Exp3,18,F,2,12,47,8,4,12,1,1726.36582096266,284,0,924,770,0,0,NA,10,3,518,251,0,0,0,0,26,High
P103_Exp3,18,F,2,12,48,6,2,10,1,561.086323875315,126,0,346,557,0,0,NA,5,2,169,250,0,0,0,0,26,High
P103_Exp3,18,F,3,13,49,9,1,13,1,1997.39832126943,239,123,1519,373,0,216,207,7,4,599,250,0,0,0,0,26,High
P103_Exp3,18,F,3,13,50,10,2,14,3,3364.46443119712,0,0,2890,340,0,364,370,7,2,1010,249,0,0,0,0,26,High
P103_Exp3,18,F,3,13,51,11,3,15,1,2470.64033172546,216,0,1874,154,0,657,180,9,2,741,252,41,0,41,0,26,High
P103_Exp3,18,F,3,13,52,12,4,16,1,1013.18890228094,282,120,596,180,0,240,213,6,4,304,249,0,0,0,0,26,High
P103_Exp3,18,F,3,14,53,10,2,14,4,5020.05366358571,1056,0,2802,330,0,73,410,24,4,1507,248,56,0,52,0,26,High
P103_Exp3,18,F,3,14,54,11,3,15,1,1916.91682808278,384,0,1251,246,0,457,277,6,2,575,253,27,0,27,0,26,High
P103_Exp3,18,F,3,14,55,12,4,16,1,1999.65045318822,474,0,1156,446,0,263,234,11,3,600,254,0,0,0,0,26,High
P103_Exp3,18,F,3,14,56,9,1,13,1,944.920115875448,63,0,530,644,0,0,NA,6,3,284,250,0,0,0,0,26,High
P103_Exp3,18,F,3,15,57,10,2,14,1,1456.49606186316,333,177,980,354,0,187,193,5,4,437,251,1,0,0,0,26,High
P103_Exp3,18,F,3,15,58,11,3,15,1,1246.9231277737,357,0,813,250,0,410,283,4,2,374,249,0,0,0,0,26,High
P103_Exp3,18,F,3,15,59,9,1,13,1,1541.02239725717,186,0,942,724,0,0,NA,13,3,462,252,0,0,0,0,26,High
P103_Exp3,18,F,3,15,60,12,4,16,1,543.971811675419,0,0,314,773,0,0,NA,2,2,163,251,0,0,0,0,26,High
P103_Exp3,18,F,3,16,61,9,1,13,1,1346.9022696695,167,394,967,290,0,0,NA,7,3,404,249,0,0,0,0,26,High
P103_Exp3,18,F,3,16,62,12,4,16,1,1460.98613856748,143,0,1073,650,0,0,NA,5,3,438,250,0,0,0,0,26,High
P103_Exp3,18,F,3,16,63,11,3,15,1,867.37717036749,330,0,450,797,0,0,NA,4,2,260,253,0,0,0,0,26,High
P103_Exp3,18,F,3,16,64,10,2,14,1,505.146759855052,0,0,500,796,0,0,NA,1,2,152,248,0,0,0,0,26,High
P103_Exp3,18,F,3,17,65,12,4,16,1,1497.31153827452,200,0,979,744,157,0,NA,5,3,449,249,0,0,0,0,26,High
P103_Exp3,18,F,3,17,66,11,3,15,1,3087.47092015028,506,339,1468,417,0,0,NA,13,4,926,253,145,0,141,0,26,High
P103_Exp3,18,F,3,17,67,10,2,14,1,1043.31663779431,309,0,683,793,0,0,NA,3,2,313,251,0,0,0,0,26,High
P103_Exp3,18,F,3,17,68,9,1,13,1,315.334691072167,0,0,310,570,0,230,600,1,2,95,250,0,0,0,0,26,High
P103_Exp3,18,F,3,18,69,11,3,15,1,5097.21778245466,437,0,3798,779,0,0,NA,14,2,1529,249,51,0,32,0,26,High
P103_Exp3,18,F,3,18,70,10,2,14,1,2542.79005367243,156,0,2138,420,0,0,NA,7,3,763,251,0,19,0,0,26,High
P103_Exp3,18,F,3,18,71,12,4,16,1,848.734371891624,297,0,380,697,0,0,NA,4,3,255,254,0,0,0,0,26,High
P103_Exp3,18,F,3,18,72,9,1,13,1,752.171612391976,0,0,730,837,0,0,NA,3,1,225,253,0,0,0,0,26,High
P105_Exp3,20,F,1,1,1,4,4,8,1,6867.05071099732,900,0,4848,137,0,517,273,22,3,2060,254,65,0,57,0,15,Low
P105_Exp3,20,F,1,1,2,2,2,6,4,10908.242302914,1623,0,7668,204,387,570,237,31,3,3272,247,39,0,34,0,15,Low
P105_Exp3,20,F,1,1,3,1,1,5,1,5848.33126660942,1807,0,2814,193,200,536,227,21,3,1754,249,110,0,105,0,15,Low
P105_Exp3,20,F,1,1,4,3,3,7,3,6285.21751309745,861,0,4662,247,0,499,283,19,4,1886,248,0,0,0,0,15,Low
P105_Exp3,20,F,1,2,5,4,4,8,1,2739.63086344793,610,176,1677,103,0,400,3,10,4,822,252,0,0,0,0,15,Low
P105_Exp3,20,F,1,2,6,2,2,6,1,3836.69432494207,924,0,2122,53,0,712,23,15,4,1151,252,65,0,63,0,15,Low
P105_Exp3,20,F,1,2,7,1,1,5,4,10580.9273209588,614,0,7867,337,419,250,204,38,3,3175,244,28,40,28,40,15,Low
P105_Exp3,20,F,1,2,8,3,3,7,3,4668.37146206854,520,0,3446,277,0,270,290,13,4,1401,248,0,0,0,0,15,Low
P105_Exp3,20,F,1,3,9,2,2,6,1,19490.6707655009,2441,0,11872,200,0,327,190,50,4,5848,252,839,0,798,0,15,Low
P105_Exp3,20,F,1,3,10,4,4,8,3,13020.3389144926,2802,0,7523,0,0,314,173,39,5,3907,248,86,0,86,0,15,Low
P105_Exp3,20,F,1,3,11,1,1,5,1,2771.41202096573,729,156,1424,226,0,287,100,10,5,831,252,37,0,37,0,15,Low
P105_Exp3,20,F,1,3,12,3,3,7,2,12572.5652406472,787,0,9568,234,213,310,210,38,4,3772,247,156,0,154,0,15,Low
P105_Exp3,20,F,1,4,13,2,2,6,1,8125.3487973363,3027,110,3509,160,157,483,193,28,3,2438,251,111,0,106,0,15,Low
P105_Exp3,20,F,1,4,14,4,4,8,1,1264.36966540859,420,280,720,236,0,227,270,5,3,379,249,0,0,0,0,15,Low
P105_Exp3,20,F,1,4,15,3,3,7,2,9406.20294782821,1653,0,5923,536,0,170,283,27,4,2822,252,132,0,132,0,15,Low
P105_Exp3,20,F,1,4,16,1,1,5,1,5109.79041370319,1674,140,2737,183,0,393,3,18,4,1533,251,0,0,0,0,15,Low
P105_Exp3,20,F,1,5,17,2,2,6,1,3497.12811955578,1230,220,1654,224,0,287,250,15,3,1049,249,0,0,0,0,15,Low
P105_Exp3,20,F,1,5,18,1,1,5,3,10462.4168229284,2756,344,6236,221,0,127,270,32,5,3139,245,87,0,63,0,15,Low
P105_Exp3,20,F,1,5,19,4,4,8,1,2091.47787438633,376,0,1360,450,0,213,326,6,4,628,250,0,0,0,0,15,Low
P105_Exp3,20,F,1,5,20,3,3,7,1,1592.52924705652,230,0,1028,473,0,274,236,6,3,478,251,34,0,34,0,15,Low
P105_Exp3,20,F,1,6,21,1,1,5,1,1240.76343601701,173,430,613,343,0,0,NA,5,3,372,251,0,0,0,0,15,Low
P105_Exp3,20,F,1,6,22,3,3,7,1,1470.91775808622,207,0,1119,794,0,0,NA,5,3,441,252,0,0,0,0,15,Low
P105_Exp3,20,F,1,6,23,4,4,8,1,980.738116138127,180,453,655,273,0,0,NA,4,3,294,249,0,0,0,0,15,Low
P105_Exp3,20,F,1,6,24,2,2,6,1,1613.63699479534,263,0,1183,0,0,574,3,4,3,484,250,0,61,0,56,15,Low
P105_Exp3,20,F,2,7,25,5,1,9,1,5563.72682784331,3100,0,1877,373,0,280,190,17,3,1669,249,54,0,44,0,15,Low
P105_Exp3,20,F,2,7,26,7,3,11,2,4876.17166322707,1855,233,2429,290,0,177,230,16,4,1463,246,0,0,0,0,15,Low
P105_Exp3,20,F,2,7,27,8,4,12,1,3578.36514719202,1157,410,826,0,0,180,67,7,4,1073,250,387,0,387,0,15,Low
P105_Exp3,20,F,2,7,28,6,2,10,1,4059.96899310867,1025,350,2144,160,0,153,203,13,4,1218,251,118,0,118,0,15,Low
P105_Exp3,20,F,2,8,29,5,1,9,1,1770.98489138552,353,473,1173,267,0,0,NA,5,3,531,252,0,0,0,0,15,Low
P105_Exp3,20,F,2,8,30,8,4,12,1,6684.04394816207,1080,296,4661,80,0,357,103,21,5,2005,254,50,0,45,0,15,Low
P105_Exp3,20,F,2,8,31,7,3,11,1,1081.50688901151,461,130,270,196,0,250,237,5,4,325,254,0,30,0,30,15,Low
P105_Exp3,20,F,2,8,32,6,2,10,1,2829.73920645054,711,180,1810,103,0,364,76,11,4,849,249,0,0,0,0,15,Low
P105_Exp3,20,F,2,9,33,7,3,11,1,3645.56425176033,1357,374,1795,147,127,224,173,12,4,1094,250,0,0,0,0,15,Low
P105_Exp3,20,F,2,9,34,8,4,12,1,5858.62161812929,2389,339,2636,0,0,408,3,24,4,1757,251,43,0,41,0,15,Low
P105_Exp3,20,F,2,9,35,6,2,10,1,1928.55797431275,443,160,903,213,0,286,244,7,4,579,249,112,0,112,0,15,Low
P105_Exp3,20,F,2,9,36,5,1,9,1,836.293457038664,244,277,506,137,0,266,70,3,3,251,253,0,0,0,0,15,Low
P105_Exp3,20,F,2,10,37,7,3,11,1,1926.06070009424,936,324,737,206,0,213,247,6,3,577,251,0,0,0,0,15,Low
P105_Exp3,20,F,2,10,38,6,2,10,2,3592.95486734572,933,354,1836,177,393,203,213,9,4,1078,250,34,0,34,0,15,Low
P105_Exp3,20,F,2,10,39,5,1,9,1,4242.9712280682,1533,0,2267,180,0,380,356,12,2,1273,251,0,0,0,0,15,Low
P105_Exp3,20,F,2,10,40,8,4,12,1,816.703453138871,0,163,697,90,0,357,66,2,6,245,253,0,0,0,0,15,Low
P105_Exp3,20,F,2,11,41,7,3,11,1,1214.51262552728,500,267,565,317,0,0,NA,5,2,364,249,0,58,0,58,15,Low
P105_Exp3,20,F,2,11,42,5,1,9,1,1789.99351608218,483,0,1103,180,0,340,50,3,3,537,251,0,52,0,44,15,Low
P105_Exp3,20,F,2,11,43,6,2,10,1,671.999497707475,350,0,267,750,0,0,NA,3,3,202,252,0,0,0,0,15,Low
P105_Exp3,20,F,2,11,44,8,4,12,1,229.834352206126,0,246,223,480,0,0,NA,1,2,69,245,0,0,0,0,15,Low
P105_Exp3,20,F,2,12,45,7,3,11,1,1205.79978580099,284,737,784,0,0,0,NA,4,3,361,252,0,0,0,0,15,Low
P105_Exp3,20,F,2,12,46,5,1,9,1,1326.28896538608,373,0,836,200,0,324,13,4,3,398,250,0,62,0,62,15,Low
