Experiment,subj,condition,age,sex,phase,epoch,block,trial,cue,resp,out,numResp,RT,ICU,ICU_Exp_medSplit,AOI_out_p2,AOI_out_p2_1s,tOutFix,tOutFix_1s
Exp3,P103_Exp3,NA,18,F,2,6,12,48,6,2,10,1,561.086323875315,26,High,0,NA,NA,NA
Exp3,P103_Exp3,NA,18,F,3,7,13,49,9,1,13,1,1997.39832126943,26,High,216,NA,207,NA
Exp3,P103_Exp3,NA,18,F,3,7,13,50,10,2,14,3,3364.46443119712,26,High,364,NA,370,NA
Exp3,P103_Exp3,NA,18,F,3,7,13,51,11,3,15,1,2470.64033172546,26,High,657,NA,180,NA
Exp3,P103_Exp3,NA,18,F,3,7,13,52,12,4,16,1,1013.18890228094,26,High,240,NA,213,NA
Exp3,P103_Exp3,NA,18,F,3,7,14,53,10,2,14,4,5020.05366358571,26,High,73,NA,410,NA
Exp3,P103_Exp3,NA,18,F,3,7,14,54,11,3,15,1,1916.91682808278,26,High,457,NA,277,NA
Exp3,P103_Exp3,NA,18,F,3,7,14,55,12,4,16,1,1999.65045318822,26,High,263,NA,234,NA
Exp3,P103_Exp3,NA,18,F,3,7,14,56,9,1,13,1,944.920115875448,26,High,0,NA,NA,NA
Exp3,P103_Exp3,NA,18,F,3,8,15,57,10,2,14,1,1456.49606186316,26,High,187,NA,193,NA
Exp3,P103_Exp3,NA,18,F,3,8,15,58,11,3,15,1,1246.9231277737,26,High,410,NA,283,NA
Exp3,P103_Exp3,NA,18,F,3,8,15,59,9,1,13,1,1541.02239725717,26,High,0,NA,NA,NA
Exp3,P103_Exp3,NA,18,F,3,8,15,60,12,4,16,1,543.971811675419,26,High,0,NA,NA,NA
Exp3,P103_Exp3,NA,18,F,3,8,16,61,9,1,13,1,1346.9022696695,26,High,0,NA,NA,NA
Exp3,P103_Exp3,NA,18,F,3,8,16,62,12,4,16,1,1460.98613856748,26,High,0,NA,NA,NA
Exp3,P103_Exp3,NA,18,F,3,8,16,63,11,3,15,1,867.37717036749,26,High,0,NA,NA,NA
Exp3,P103_Exp3,NA,18,F,3,8,16,64,10,2,14,1,505.146759855052,26,High,0,NA,NA,NA
Exp3,P103_Exp3,NA,18,F,3,9,17,65,12,4,16,1,1497.31153827452,26,High,0,NA,NA,NA
Exp3,P103_Exp3,NA,18,F,3,9,17,66,11,3,15,1,3087.47092015028,26,High,0,NA,NA,NA
